class_id,class_label,base_species_or_group,label_type,coverage_status,recommended_name,recommended_url,notes,expert_description_status,expert_visual_description,expert_description_source,source_page_verified_in_this_pass,expert_description_sections,description_notes,safe_use_note
240,Ring-billed Gull,Ring-billed Gull,species_label,likely_covered_species_page,Ring-billed Gull,https://www.allaboutbirds.org/guide/Ring-billed_Gull/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"The Ring-billed is a medium-sized gull with a fairly short, slim bill. When the gull perches, its long, slender wings extend well past its square-tipped tail. In flight, the birds move lightly on easy flaps of their fairly slender wings. Adults are clean gray above, with a white head, body and tail; their black wingtips are spotted with white. They have yellow legs and a yellow bill with a black band around it. Nonbreeding adults have brown-streaked heads. During their first two years, Ring-billed Gulls are a motley brown and gray with a pink bill and legs.",https://www.allaboutbirds.org/guide/Ring-billed_Gull/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
241,California Gull,California Gull,species_label,likely_covered_species_page,California Gull,https://www.allaboutbirds.org/guide/California_Gull/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"The California Gull is a medium-sized gull with a round head. The bill is slender compared to other gull species. In flight the wings are long and pointed. Breeding adult California Gulls are white-headed gulls with a medium gray back, yellow legs, and a dark eye. Nonbreeding adults have brown streaking on the head. Adults have a yellow bill with small black ring and a red spot on the lower mandible—brighter on breeding gulls. In their first year, they are mottled brown and white and often have a paler face. The bill is pink with a black tip and the legs are pinkish. Second-year California Gulls are",https://www.allaboutbirds.org/guide/California_Gull/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
242,Herring Gull,Herring Gull,species_label,likely_covered_species_page,Herring Gull,https://www.allaboutbirds.org/guide/Herring_Gull/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"American Herring Gulls are large gulls with hefty bills and robust bodies. In flight, they look barrel-chested and broad-winged compared to smaller species such as Ring-billed Gulls. Adults have light-gray backs, black wingtips, and white heads and underparts. In winter, dusky streaks mark their heads. American Herring Gulls take four years to reach adult plumage. Juveniles are mottled brown; second-year birds are brown but show gray on the back. Third-years have more gray on the back and more white on the head and underparts. The legs are dull pink at all ages.",https://www.allaboutbirds.org/guide/Herring_Gull/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
243,Glaucous-winged Gull,Glaucous-winged Gull,species_label,likely_covered_species_page,Glaucous-winged Gull,https://www.allaboutbirds.org/guide/Glaucous-winged_Gull/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A large, heavyset gull with a big, somewhat flat head and a long, heavy bill with a thick tip and pronounced angle along the lower edge. Breeding adults are pearly gray above, including the wingtips, and white below. The wingtips have white spots. The bill is yellow and the legs and feet pinkish. Nonbreeding adults have some brownish mottling or streaking on the head. Juveniles are pale brown overall, including wingtips. Subadult plumages are intermediate between juvenile and adult.",https://www.allaboutbirds.org/guide/Glaucous-winged_Gull/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
244,Great Black-backed Gull,Great Black-backed Gull,species_label,likely_covered_species_page,Great Black-backed Gull,https://www.allaboutbirds.org/guide/Great_Black-backed_Gull/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"This is the largest species of gull in the world. They are stout-bodied, with broad wings, a thick neck, and a heavy, slightly bulbous bill. Adults are white with slaty-black upperwings and backs. They have dull pink legs, a yellow bill with a red spot near the tip, and darkish eyes. Juveniles are checkered gray-brown and white above; they have white-based, black-tipped tails, black bills, and blackish flight feathers. Over about 4 years, these crisp, cold-toned gulls transition to dark backed adults.",https://www.allaboutbirds.org/guide/Great_Black-backed_Gull/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
245,Caspian Tern,Caspian Tern,species_label,likely_covered_species_page,Caspian Tern,https://www.allaboutbirds.org/guide/Caspian_Tern/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A large, heavy-bodied seabird (and largest of all terns), with a large head; thick, straight, pointed bill; and shallowly forked tail. The long, pointed wings are broad for a tern. White overall, with pale gray upperwings. From below, the outer primaries in the wing are dark gray. Breeding adults have a black crown; winter adults and juveniles have a partially black crown with grayish speckling. The bill is coral red with a dusky tip. Feet and legs are blackish.",https://www.allaboutbirds.org/guide/Caspian_Tern/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
246,Black Tern,Black Tern,species_label,likely_covered_species_page,Black Tern,https://www.allaboutbirds.org/guide/Black_Tern/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A small and delicately built seabird with a thin, pointed bill; long, pointed wings; a shallowly forked tail; and short legs. Adults in breeding plumage are dark gray above with black heads and black underparts. The underwings and undertail coverts are pale. Nonbreeding adults are gray above, whitish below, with a dusky crown, ear-patch, and mark at the side of the breast. Juveniles are similar to nonbreeding adults but with a brown scaled pattern to the upperparts.",https://www.allaboutbirds.org/guide/Black_Tern/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
247,Common Tern,Common Tern,species_label,likely_covered_species_page,Common Tern,https://www.allaboutbirds.org/guide/Common_Tern/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Common Terns have long, narrow, angular wings and pointed wingtips. Unlike gulls, this tern has a straight, slender bill. The tail is forked and the legs are short. Common Terns are pale gray overall with a black cap. Breeding birds have a fully black cap that extends to the back of the neck and a gray belly. They also have an orange bill tipped in black and orange legs. Nonbreeding birds have a white forehead, a partial black cap, and black legs and bill. They also have a black bar across the shoulder known as a carpal bar and dark trailing edges on the wingtips as seen in flight.",https://www.allaboutbirds.org/guide/Common_Tern/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
248,Forster's Tern,Forster's Tern,species_label,likely_covered_species_page,Forster's Tern,https://www.allaboutbirds.org/guide/Forsters_Tern/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A slender, long-tailed, long-winged seabird with a long, pointed bill and short legs. When perched, the long tail streamers extend past the end of the wings. Breeding adults are gray above and white below, with a black cap and orange bill with black tip. The wingtips are silvery gray and the legs are orange. Nonbreeding adults are ghostly pale overall, with a dark bill, white crown, and thick blackish eye patch. Juveniles are similar to nonbreeding adults but have tan feathers on the upperparts, a pale base to the bill, and a shorter tail.",https://www.allaboutbirds.org/guide/Forsters_Tern/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
249,Royal Tern,Royal Tern,species_label,likely_covered_species_page,Royal Tern,https://www.allaboutbirds.org/guide/Royal_Tern/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A large tern, slender and long winged. The head is fairly large and often has a ragged crest at the back. Royal Terns have a substantial body, a long, forked tail, and short legs. The bill is long and daggerlike. Breeding adults are gray below and white above, with a black crest and bright orange bill. Nonbreeders have a white forehead with black only at the rear of the crest. The outer primaries of the wing are blackish and the legs are black. Juveniles are similar but with tan feathers in upperparts, duskier upperwings, and a paler bill.",https://www.allaboutbirds.org/guide/Royal_Tern/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
250,Black Skimmer,Black Skimmer,species_label,likely_covered_species_page,Black Skimmer,https://www.allaboutbirds.org/guide/Black_Skimmer/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A medium-sized ternlike seabird with very long wings and an outsized bill in which the lower mandible is much longer than the upper. Starkly black above and white below, with black-and-red bill and orange-red legs. Juveniles are brownish above, with pale-edged wing covert feathers.",https://www.allaboutbirds.org/guide/Black_Skimmer/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
251,Ovenbird,Ovenbird,species_label,likely_covered_species_page,Ovenbird,https://www.allaboutbirds.org/guide/Ovenbird/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"The Ovenbird is a chunky, larger-than-average warbler, but still smaller than a Song Sparrow. It has a round head, fairly thick bill for a warbler, and a jaunty tail often cocked upward. Ovenbirds are olive-green above and spotted below, with bold black-and-orange crown stripes. A white eyering gives it a somewhat surprised expression. Like several other terrestrial, or near-terrestrial, warblers, Ovenbirds have pink legs.",https://www.allaboutbirds.org/guide/Ovenbird/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
252,Green-tailed Towhee,Green-tailed Towhee,species_label,likely_covered_species_page,Green-tailed Towhee,https://www.allaboutbirds.org/guide/Green-tailed_Towhee/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Green-tailed Towhees are small but chunky songbirds with a big head, stocky body and longish tail. The bill is thick and sparrowlike. They are larger than most sparrows and have shorter tails than most other towhees. Green-tailed Towhees are grayish birds with olive-yellow wings, back and tail. The head is strongly marked with a bright rufous crown, white throat, and a dark “mustache” stripe.",https://www.allaboutbirds.org/guide/Green-tailed_Towhee/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
253,Louisiana Waterthrush,Louisiana Waterthrush,species_label,likely_covered_species_page,Louisiana Waterthrush,https://www.allaboutbirds.org/guide/Louisiana_Waterthrush/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A large, somewhat plump warbler, with a stout bill (bigger than Northern Waterthrush’s), rather short tail, and long legs. Brownish above, with a very prominent white eyebrow (supercilium); pale below, with dark streaks. The supercilium is thicker in Louisiana than in ​Northern, and tends to flare at the rear. The legs are bright pink.",https://www.allaboutbirds.org/guide/Louisiana_Waterthrush/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
254,Bobolink,Bobolink,species_label,likely_covered_species_page,Bobolink,https://www.allaboutbirds.org/guide/Bobolink/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Bobolinks are small songbirds with large, somewhat flat heads, short necks, and short tails. They are related to blackbirds and orioles, and they have a similar shaped, sharply pointed bill. Breeding male Bobolinks are mostly black with a white back and rump, and a rich buffy nape. Females and nonbreeding males are warm buffy brown, streaked with dark brown on the back and flanks. They have bold brown stripes on the crown but are unstreaked on the nape of the neck. The bill is pinkish.",https://www.allaboutbirds.org/guide/Bobolink/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
255,Gray-crowned Rosy-Finch,Gray-crowned Rosy-Finch,species_label,likely_covered_species_page,Gray-crowned Rosy-Finch,https://www.allaboutbirds.org/guide/Gray-crowned_Rosy-Finch/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A small songbird with a short, conical bill and a fairly short tail. Subspecies on the Aleutian and Pribilof Islands are considerably larger, shaped more like a grosbeak than a small finch. Adult males are rich brown suffused with pink on the body, with gray sides of the head and a black forecrown and throat. Adult females are similar but with less extensive pink. The bill is yellow. Juveniles are brownish overall with grayish wings and a dusky bill.",https://www.allaboutbirds.org/guide/Gray-crowned_Rosy-Finch/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
256,Western Wood-Pewee,Western Wood-Pewee,species_label,likely_covered_species_page,Western Wood-Pewee,https://www.allaboutbirds.org/guide/Western_Wood-Pewee/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Western Wood-Pewees are medium-sized flycatchers with a peaked crown that gives their head a triangular shape. These long and thin flycatchers perch upright in the canopy. They have long wings, a feature that helps separate them from similar looking flycatchers. Western Wood-Pewees are grayish brown overall with 2 pale wingbars. The underparts are whitish with smudgy gray on the breast and sides that can make them look like they are wearing a partially buttoned vest. The face is dark grayish brown with little to no eyering. The bill is mostly dark with yellow at the base of the lower mandible. Juveniles are similar to adults but have buffy wingbars.",https://www.allaboutbirds.org/guide/Western_Wood-Pewee/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
257,Gray Jay,Gray Jay,species_label,covered_with_taxonomy_update,Canada Jay,https://www.allaboutbirds.org/guide/Canada_Jay/id,taxonomic/name update: AAB uses Canada Jay; formerly Gray Jay,found_raw_visual_sections_needs_normalization,"Canada Jays are stocky, fairly large songbirds with short, stout bills. They have round heads and long tails, with broad, rounded wings. Canada Jays are dark gray above and light gray below, with black on the back of the head forming a partial hood. Juveniles are grayish black overall, and usually show a pale gape at the base of the bill.",https://www.allaboutbirds.org/guide/Canada_Jay/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
258,Spotted Towhee,Spotted Towhee,species_label,likely_covered_species_page,Spotted Towhee,https://www.allaboutbirds.org/guide/Spotted_Towhee/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A large sparrow with a thick, pointed bill, short neck, chunky body, and long, rounded tail. Male Spotted Towhees have jet-black upperparts and throat; their wings and back are spotted bright white. The flanks are warm rufous and the belly is white. Females have the same pattern but are grayish brown where males are black. In flight, look for white corners to the black tail.",https://www.allaboutbirds.org/guide/Spotted_Towhee/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
259,Summer Tanager,Summer Tanager,species_label,likely_covered_species_page,Summer Tanager,https://www.allaboutbirds.org/guide/Summer_Tanager/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Summer Tanagers are medium-sized, chunky songbirds with big bodies and large heads. They have large, thick, blunt-tipped bills. Adult male Summer Tanagers are entirely bright red. Females and immature males are bright yellow-green—yellower on the head and underparts and slightly greener on the back and wings. The bill is pale. Molting immature males can be patchy yellow and red.",https://www.allaboutbirds.org/guide/Summer_Tanager/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
260,Northern Waterthrush,Northern Waterthrush,species_label,likely_covered_species_page,Northern Waterthrush,https://www.allaboutbirds.org/guide/Northern_Waterthrush/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A large but trim warbler with a short, fine bill, a rather short tail, and long legs. The bill is smaller than Louisiana Waterthrush’s. Brownish above, with a prominent pale eyebrow (supercilium); pale yellowish or buff below, with dark streaks. The legs are duskier and less pink than Louisiana Waterthrush. The supercilium stripe is thinner in Northern Waterthrush than in Louisiana, especially at rear, and is faintly yellowish.",https://www.allaboutbirds.org/guide/Northern_Waterthrush/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
261,Carolina Chickadee,Carolina Chickadee,species_label,likely_covered_species_page,Carolina Chickadee,https://www.allaboutbirds.org/guide/Carolina_Chickadee/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"This tiny, approachable bird has a short neck and large head, giving it a distinctive spherical body shape. Its tail is fairly long and narrow. Its bill is a bit thicker than a warbler’s but thinner than a finch’s. Carolina Chickadees have a black cap and bib separated by stark white cheeks. The back, wings, and tail are soft gray.",https://www.allaboutbirds.org/guide/Carolina_Chickadee/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
262,Eastern Bluebird,Eastern Bluebird,species_label,likely_covered_species_page,Eastern Bluebird,https://www.allaboutbirds.org/guide/Eastern_Bluebird/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"The Eastern Bluebird is a small thrush with a big, rounded head, large eye, plump body, and alert posture. The wings are long, but the tail and legs are fairly short. The bill is short and straight. Male Eastern Bluebirds are vivid, deep blue above and rusty or brick-red on the throat and breast. Blue in birds always depends on the light, and males often look plain gray-brown from a distance. Females are grayish above with bluish wings and tail, and a subdued orange-brown breast.",https://www.allaboutbirds.org/guide/Eastern_Bluebird/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
263,White-eyed Vireo,White-eyed Vireo,species_label,likely_covered_species_page,White-eyed Vireo,https://www.allaboutbirds.org/guide/White-eyed_Vireo/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Small songbird with a thick, straight, and slightly hooked bill. It has a rather compact body and a thick neck. This vireo wears yellow spectacles surrounding its white eye. It has yellow-washed sides, a gray head, a white chest and throat, and 2 white wingbars. Young birds have a dark eye that turns white in their first winter or spring.",https://www.allaboutbirds.org/guide/White-eyed_Vireo/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
264,Purple Martin,Purple Martin,species_label,likely_covered_species_page,Purple Martin,https://www.allaboutbirds.org/guide/Purple_Martin/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Purple Martins are very large, broad-chested swallows. They have stout, slightly hooked bills, short, forked tails, and long, tapered wings. Adult males are iridescent, dark blue-purple overall with brown-black wings and tail. Females and immatures are duller, with variable amounts of gray on the head and chest and a whitish lower belly.",https://www.allaboutbirds.org/guide/Purple_Martin/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
265,Cactus Wren,Cactus Wren,species_label,likely_covered_species_page,Cactus Wren,https://www.allaboutbirds.org/guide/Cactus_Wren/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"The Cactus Wren is a large chunky wren with a long heavy bill, a long, rounded tail, and short, rounded wings. The Cactus Wren is the largest wren in the United States and is similar in size to a Spotted Towhee. The Cactus Wren is a speckled brown bird with bright white eyebrows that extend from the bill, across and above their red eyes, to the sides of the neck. They have pale cinnamon sides and a white chest with dark speckles. The back is brown with heavy white streaks, and the tail is barred white and black—especially noticeable from below. Males and females look alike, but juveniles are slightly paler and have a brown eye.",https://www.allaboutbirds.org/guide/Cactus_Wren/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
266,Blue-winged Warbler,Blue-winged Warbler,species_label,likely_covered_species_page,Blue-winged Warbler,https://www.allaboutbirds.org/guide/Blue-winged_Warbler/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Blue-winged Warblers are small, well-proportioned birds with a sharp and pointed bill. Compared to other warblers, the rather heavy black bill and eyeline give them a pointy-headed look. Adult males are bright yellow below, yellow-green above, and have two obvious wingbars on blue-gray wings, and a black eyeline. Adult females are paler with a less defined eyeline. The black bill and eyeline contribute to an almost angry-looking expression. From below look for the white undertail coverts on both sexes.",https://www.allaboutbirds.org/guide/Blue-winged_Warbler/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
267,Eastern Towhee,Eastern Towhee,species_label,likely_covered_species_page,Eastern Towhee,https://www.allaboutbirds.org/guide/Eastern_Towhee/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Towhees are a kind of large sparrow. Look for their thick, triangular, seed-cracking bill as a tip-off they’re in the sparrow family. Also notice the chunky body and long, rounded tail. Males are striking: bold sooty black above and on the breast, with warm rufous sides and white on the belly. Females have the same pattern, but are rich brown where the males are black.",https://www.allaboutbirds.org/guide/Eastern_Towhee/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
268,Red-winged Blackbird,Red-winged Blackbird,species_label,likely_covered_species_page,Red-winged Blackbird,https://www.allaboutbirds.org/guide/Red-winged_Blackbird/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A stocky, broad-shouldered blackbird with a slender, conical bill and a medium-length tail. Red-winged Blackbirds often show a hump-backed silhouette while perched; males often sit with tail slightly flared. Male Red-winged Blackbirds are hard to mistake. They're an even glossy black with red-and-yellow shoulder badges. Females are crisply streaked and dark brownish overall, paler on the breast and often show a whitish eyebrow.",https://www.allaboutbirds.org/guide/Red-winged_Blackbird/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
269,Black Rosy-Finch,Black Rosy-Finch,species_label,likely_covered_species_page,Black Rosy-Finch,https://www.allaboutbirds.org/guide/Black_Rosy-Finch/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Medium-sized chunky finch with a conical bill and a notched tail. Breeding birds are blackish overall with pink highlights on the wings and lower belly, and a gray crown. Nonbreeding birds are brownish instead of black, but still have the same pink highlights as breeding birds. The bill on breeders is black and is yellow on nonbreeders.",https://www.allaboutbirds.org/guide/Black_Rosy-Finch/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
270,Eastern Wood-Pewee,Eastern Wood-Pewee,species_label,likely_covered_species_page,Eastern Wood-Pewee,https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Eastern Wood-Pewees are medium-sized flycatchers with long wings and tails. Like other pewee species, they have short legs, upright posture, and a peaked crown that tends to give the head a triangular shape. Their long wings are an important clue to separate them from flycatcher species. Eastern Wood-Pewees are olive-gray birds with dark wings, and little to no yellow on the underparts. The sides of the breast are dark with an off-white throat and belly, giving a vested appearance typical of pewees. They show little or no eyering. Adults have thin, white wingbars; those of juveniles are buffy. The underside of the bill is mostly yellow-orange, except in some juveniles.",https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
271,Steller's Jay,Steller's Jay,species_label,likely_covered_species_page,Steller's Jay,https://www.allaboutbirds.org/guide/Stellers_Jay/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Steller’s Jays are large songbirds with large heads, chunky bodies, rounded wings, and a long, full tail. The bill is long, straight, and powerful, with a slight hook. Steller’s Jays have a prominent triangular crest that often stands nearly straight up from their head. At a distance, Steller’s Jays are very dark jays, lacking the white underparts of most other species. The head is charcoal black and the body is all blue (lightest, almost sparkling, on the wings). White markings above the eye are fairly inconspicuous.",https://www.allaboutbirds.org/guide/Stellers_Jay/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
272,Black-and-white Warbler,Black-and-white Warbler,species_label,likely_covered_species_page,Black-and-white Warbler,https://www.allaboutbirds.org/guide/Black-and-white_Warbler/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Black-and-white Warblers are medium-sized warblers (small songbirds). They have a fairly long, slightly downcurved bill. The head often appears somewhat flat and streamlined, with a short neck. The wings are long and the tail is short. These birds are boldly striped in black and white. Their black wings are highlighted by two wide, white wing bars. Adult males have more obvious black streaking, particularly on the underparts and the cheek. Females (especially immatures) are paler, with less streaking and usually a wash of buff on the flanks. The undertail coverts have distinctive large black spots.",https://www.allaboutbirds.org/guide/Black-and-white_Warbler/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
273,Rufous-crowned Sparrow,Rufous-crowned Sparrow,species_label,likely_covered_species_page,Rufous-crowned Sparrow,https://www.allaboutbirds.org/guide/Rufous-crowned_Sparrow/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Rufous-crowned Sparrows are relatively large sparrows with rounded heads and fairly long tails. The thick, pointed bill is fairly large. These are grayish sparrows with streaky backs and and bright reddish-brown crowns. They have a white eyering and a white malar or whisker stripe that’s bordered in black and contrasts with the gray face and underparts.",https://www.allaboutbirds.org/guide/Rufous-crowned_Sparrow/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
274,Scarlet Tanager,Scarlet Tanager,species_label,likely_covered_species_page,Scarlet Tanager,https://www.allaboutbirds.org/guide/Scarlet_Tanager/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Scarlet Tanagers are medium-sized songbirds with fairly stocky proportions. They have thick, rounded bills suitable both for catching insects and eating fruit. The head is fairly large and the tail is somewhat short and broad. In spring and summer, adult males are an unmistakable, brilliant red with black wings and tails. Females and fall immatures are olive-yellow with darker olive wings and tails. After breeding, adult males molt to female-like plumage, but with black wings and tail.",https://www.allaboutbirds.org/guide/Scarlet_Tanager/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
